item,itemLabel,directorLabel,genreLabel,runtime,pubdate,sampledItemLabel
http://www.wikidata.org/entity/Q64576668,A Magician Home Alone,Zach King,comedy film,5,2018-12-22T00:00:00Z,A Magician Home Alone
http://www.wikidata.org/entity/Q61268453,Surfer Dan,Tim Kemple,documentary film,8,2019-01-01T00:00:00Z,Surfer Dan
http://www.wikidata.org/entity/Q65802921,Baby,Anthony Leone,horror film,8,2019-09-14T00:00:00Z,Baby
http://www.wikidata.org/entity/Q120993191,Touch,Justin Burquist,drama film,8,2022-11-20T00:00:00Z,Touch
http://www.wikidata.org/entity/Q115431079,The Dentist,Michael Brian Rawlins,short film,7,2020-06-27T00:00:00Z,The Dentist
http://www.wikidata.org/entity/Q97583957,Here Grows New York,Myles Zhang,documentary film,9,2018-10-28T00:00:00Z,Here Grows New York
http://www.wikidata.org/entity/Q33083022,The Dark Resurgence: A Star Wars Story,Michael McCumber,fantasy film,13,2018-04-10T00:00:00Z,The Dark Resurgence: A Star Wars Story
http://www.wikidata.org/entity/Q61912659,Notes from Melanie,Chris Stuckmann,comedy film,20,2019-03-01T00:00:00Z,Notes from Melanie
http://www.wikidata.org/entity/Q82323298,Walk Run Cha-Cha,Laura Nix,documentary film,20,2019-01-01T00:00:00Z,Walk Run Cha-Cha
http://www.wikidata.org/entity/Q106439278,Reeducated: Inside Xinjiang's Secret Detention Camps,Sam Wolson,virtual reality,20,2020-01-01T00:00:00Z,Reeducated: Inside Xinjiang's Secret Detention Camps
http://www.wikidata.org/entity/Q110874710,The Queen of Basketball,Ben Proudfoot,short film,22,2021-01-01T00:00:00Z,The Queen of Basketball
http://www.wikidata.org/entity/Q104034130,World of Madame X,Nuno Xico,short film,23,2019-01-01T00:00:00Z,World of Madame X
http://www.wikidata.org/entity/Q113578342,My Year of Dicks,Sara Gunnarsdóttir,short film,24,2022-01-01T00:00:00Z,My Year of Dicks
http://www.wikidata.org/entity/Q64514039,A Tale of Two Kitchens,Trisha Ziff,documentary film,29,2019-01-01T00:00:00Z,A Tale of Two Kitchens
http://www.wikidata.org/entity/Q61269467,Period. End of Sentence.,Rayka Zehtabchi,documentary film,26,2018-01-01T00:00:00Z,Period. End of Sentence.
http://www.wikidata.org/entity/Q59962784,"Out of Many, One",Nanfu Wang,documentary film,34,2018-10-01T00:00:00Z,"Out of Many, One"
http://www.wikidata.org/entity/Q69293456,Jesus Is King,Nick Knight,concert film,38,2019-10-25T00:00:00Z,Jesus Is King
http://www.wikidata.org/entity/Q64513977,After Maria,Nadia Hallgren,documentary film,35,2019-01-01T00:00:00Z,After Maria
http://www.wikidata.org/entity/Q63686504,All in My Family,Hao Wu,documentary film,39,2019-05-03T00:00:00Z,All in My Family
http://www.wikidata.org/entity/Q82310947,Learning to Skateboard in a Warzone (If You're a Girl),John Haptas,documentary film,39,2019-04-28T00:00:00Z,Learning to Skateboard in a Warzone (If You're a Girl)
http://www.wikidata.org/entity/Q97495263,The Speed Cubers,Sue Kim,documentary film,40,2020-07-29T00:00:00Z,The Speed Cubers
http://www.wikidata.org/entity/Q110223733,Lead Me Home,Jon Shenk,documentary film,40,2021-01-01T00:00:00Z,Lead Me Home
http://www.wikidata.org/entity/Q93314345,Her & Him,Bella Thorne,pornographic film,32,2019-09-11T00:00:00Z,Her & Him
http://www.wikidata.org/entity/Q93348397,No Fucking Ice Cream,Agnes Lisa Wegner,documentary film,42,2018-10-25T00:00:00Z,No Fucking Ice Cream
http://www.wikidata.org/entity/Q102396311,Alien Xmas,Stephen Chiodo,fantasy film,42,2020-11-20T00:00:00Z,Alien Xmas
http://www.wikidata.org/entity/Q106729096,The Guardians of the Galaxy Holiday Special,James Gunn,science fiction,42,2022-11-25T00:00:00Z,The Guardians of the Galaxy Holiday Special
http://www.wikidata.org/entity/Q121747988,Endless Summer Vacation,Brendan Walter,documentary film,42,2023-03-10T00:00:00Z,Endless Summer Vacation
http://www.wikidata.org/entity/Q70213684,Sturgill Simpson Presents Sound & Fury,Kōji Morimoto,musical film,41,2019-01-01T00:00:00Z,Sturgill Simpson Presents Sound & Fury
http://www.wikidata.org/entity/Q107639261,Being an artist during the Covid Era,Alexey Kruglov,documentary film,41,2021-07-20T00:00:00Z,Being an artist during the Covid Era
http://www.wikidata.org/entity/Q60903913,End Game,Jeffrey Friedman,documentary film,40,2018-01-21T00:00:00Z,End Game
http://www.wikidata.org/entity/Q65048111,Life Overtakes Me,Kristine Samuelson,documentary film,40,2019-06-14T00:00:00Z,Life Overtakes Me
http://www.wikidata.org/entity/Q107791285,Friend of the World,Brian Patrick Butler,horror film,50,2020-08-15T00:00:00Z,Friend of the World
http://www.wikidata.org/entity/Q105394790,Accomplice,Jeremy Grant,documentary film,52,2021-01-01T00:00:00Z,Accomplice
http://www.wikidata.org/entity/Q73025844,Dancing with the Birds,Huw Cordey,documentary film,51,2019-01-01T00:00:00Z,Dancing with the Birds
http://www.wikidata.org/entity/Q97597887,Change The Subject,Jill Baron,documentary film,54,2019-01-01T00:00:00Z,Change The Subject
http://www.wikidata.org/entity/Q65464585,ReMastered: Tricky Dick & The Man in Black,Barbara Kopple,documentary film,58,2018-01-01T00:00:00Z,ReMastered: Tricky Dick & The Man in Black
http://www.wikidata.org/entity/Q66363984,Enter the Anime,Alex Burunova,documentary film,58,2019-08-05T00:00:00Z,Enter the Anime
http://www.wikidata.org/entity/Q104626604,The Minimalists: Less Is Now,Matt D'Avella,documentary film,53,2021-01-01T00:00:00Z,The Minimalists: Less Is Now
http://www.wikidata.org/entity/Q114833984,Ivy + Bean: Doomed to Dance,Elissa Down,comedy film,53,2022-01-01T00:00:00Z,Ivy + Bean: Doomed to Dance
http://www.wikidata.org/entity/Q114833964,Ivy + Bean,Elissa Down,comedy film,56,2022-01-01T00:00:00Z,Ivy + Bean
http://www.wikidata.org/entity/Q123008243,Homes Apart: Korea,Christine Choy,documentary film,56,2023-05-05T00:00:00Z,Homes Apart: Korea
http://www.wikidata.org/entity/Q102169128,Becoming Colleen,Ian W. Thomson,documentary film,58,2019-01-01T00:00:00Z,Becoming Colleen
http://www.wikidata.org/entity/Q61672499,The Foreigner's Home,Rian Brown,documentary film,57,2018-01-26T00:00:00Z,The Foreigner's Home
http://www.wikidata.org/entity/Q65100446,ReMastered: Who Shot the Sheriff,Kief Davidson,documentary film,57,2018-10-12T00:00:00Z,ReMastered: Who Shot the Sheriff
http://www.wikidata.org/entity/Q116760119,Harriet Tubman: Visions of Freedom,Stanley Nelson Jr.,documentary film,57,2022-10-04T00:00:00Z,Harriet Tubman: Visions of Freedom
http://www.wikidata.org/entity/Q92798265,Corona Zombies,Charles Band,comedy horror,61,2020-01-01T00:00:00Z,Corona Zombies
http://www.wikidata.org/entity/Q114670078,Ivy + Bean: The Ghost That Had to Go,Elissa Down,comedy film,61,2022-01-01T00:00:00Z,Ivy + Bean: The Ghost That Had to Go
http://www.wikidata.org/entity/Q100317092,Amateur Skaters,Shemsu J. Lefevre,documentary film,60,2021-08-01T00:00:00Z,Amateur Skaters
http://www.wikidata.org/entity/Q108732478,Brooklyn experience,José Celestino Campusano,drama film,60,2019-01-01T00:00:00Z,Brooklyn experience
http://www.wikidata.org/entity/Q110323843,Death to 2021,Josh Ruben,mockumentary,60,2021-12-27T00:00:00Z,Death to 2021
http://www.wikidata.org/entity/Q73791535,In Search of Voodoo: Roots to Heaven,Djimon Hounsou,documentary film,65,2018-01-01T00:00:00Z,In Search of Voodoo: Roots to Heaven
http://www.wikidata.org/entity/Q110787453,The Beatles: Get Back - The Rooftop Concert,Peter Jackson,documentary film,65,2022-01-30T00:00:00Z,The Beatles: Get Back - The Rooftop Concert
http://www.wikidata.org/entity/Q112184576,Marvel's Behind the Mask,Michael Jacobs,documentary film,65,2021-02-12T00:00:00Z,Marvel's Behind the Mask
http://www.wikidata.org/entity/Q110157758,Puff: Wonders of the Reef,Nick Robinson,nature documentary,62,2021-12-16T00:00:00Z,Puff: Wonders of the Reef
http://www.wikidata.org/entity/Q110901798,Happer's Comet,Tyler Taormina,drama film,62,2022-01-01T00:00:00Z,Happer's Comet
http://www.wikidata.org/entity/Q112481643,Scary Stories: Dark Web,Owen Mulligan,horror film,60,2020-01-01T00:00:00Z,Scary Stories: Dark Web
http://www.wikidata.org/entity/Q61642154,A Self-Induced Hallucination,Jane Schoenbrun,documentary film,67,2018-06-13T00:00:00Z,A Self-Induced Hallucination
http://www.wikidata.org/entity/Q106673454,Jobe'z World,Michael M. Bilandic,comedy film,67,2018-01-01T00:00:00Z,Jobe'z World
http://www.wikidata.org/entity/Q115424617,Common Ground,Mat Hames,documentary film,67,2018-11-02T00:00:00Z,Common Ground
http://www.wikidata.org/entity/Q63498474,It is Not the Pornographer That is Perverse...,Bruce LaBruce,anthology film,69,2018-01-01T00:00:00Z,It is Not the Pornographer That is Perverse...
http://www.wikidata.org/entity/Q51278917,The Devil and Father Amorth,William Friedkin,documentary film,68,2018-04-20T00:00:00Z,The Devil and Father Amorth
http://www.wikidata.org/entity/Q109927611,Untold: Caitlyn Jenner,Crystal Moselle,documentary film,69,2021-08-24T00:00:00Z,Untold: Caitlyn Jenner
http://www.wikidata.org/entity/Q110029345,Untold: Malice at the Palace,Floyd Russ,documentary film,69,2021-01-01T00:00:00Z,Untold: Malice at the Palace
http://www.wikidata.org/entity/Q1702996,Scooby-Doo! and the Witch's Ghost,Jim Stenstrum,thriller,69,2020-09-08T00:00:00Z,Scooby-Doo! and the Witch's Ghost
http://www.wikidata.org/entity/Q96100980,Lovers Rock,Steve McQueen,drama film,68,2020-11-22T00:00:00Z,Lovers Rock
http://www.wikidata.org/entity/Q109941411,Untold: Breaking Point,Maclain Way,documentary film,68,2021-09-07T00:00:00Z,Untold: Breaking Point
http://www.wikidata.org/entity/Q65660816,AMERICA Land of the FreeKS,Ulli Lommel,documentary film,70,2018-02-20T00:00:00Z,AMERICA Land of the FreeKS
http://www.wikidata.org/entity/Q60851945,The Head Hunter,Q60833431,fantasy film,72,2018-01-01T00:00:00Z,The Head Hunter
http://www.wikidata.org/entity/Q62165528,Mike & Fred vs the Dead,Anthony Leone,comedy film,72,2023-03-10T00:00:00Z,Mike & Fred vs the Dead
http://www.wikidata.org/entity/Q91370374,TFW NO GF,Alex Lee Moyer,documentary film,71,2020-01-01T00:00:00Z,TFW NO GF
http://www.wikidata.org/entity/Q105659357,Kid 90,Soleil Moon Frye,documentary film,71,2021-01-01T00:00:00Z,Kid 90
http://www.wikidata.org/entity/Q50803889,Paradox,Daryl Hannah,musical film,73,2018-01-01T00:00:00Z,Paradox
http://www.wikidata.org/entity/Q60562336,Root Cause,Frazer Bailey,documentary film,73,2018-01-01T00:00:00Z,Root Cause
http://www.wikidata.org/entity/Q61642225,The Seven Last Words,Sophie Deraspe,drama film,73,2019-01-24T00:00:00Z,The Seven Last Words
http://www.wikidata.org/entity/Q61764504,The Nagano Tapes,Ondřej Hudeček,documentary film,73,2018-02-28T00:00:00Z,The Nagano Tapes
http://www.wikidata.org/entity/Q104876134,Burkinabè Rising,Iara Lee,documentary film,72,2018-01-01T00:00:00Z,Burkinabè Rising
http://www.wikidata.org/entity/Q104877777,Searching-4 Tabernero,Eduardo Montes-Bradley,documentary film,72,2020-11-26T00:00:00Z,Searching-4 Tabernero
http://www.wikidata.org/entity/Q104013554,Death to 2020,Al Campbell,comedy film,70,2020-12-27T00:00:00Z,Death to 2020
http://www.wikidata.org/entity/Q27703217,6 Balloons,Marja-Lewis Ryan,drama film,74,2018-03-01T00:00:00Z,6 Balloons
http://www.wikidata.org/entity/Q61786993,Very Senior - Attitude is everything,Susan Gluth,documentary film,74,2018-11-15T00:00:00Z,Very Senior - Attitude is everything
http://www.wikidata.org/entity/Q63838597,Pass Over,Spike Lee,drama film,74,2018-04-20T00:00:00Z,Pass Over
